brand,name,former_price,current_price,discount
Armani Exchange,AX3027,$ 138.00,,
Oakley,OX3218 Socket 5.5 Cobalt Collection,$ 227.00,,
Ray-Ban,RB6396 Optics,$ 222.00,,
Michael Kors,MK4035 Ambrosine,$ 204.00,$ 142.80,-30%
Ray-Ban,RB3625V New Aviator Optics,$ 222.00,,
Michael Kors,MK3019 Procida,$ 194.00,$ 97.00,
Oakley,OX8164 Port Bow,$ 187.00,,
Versace,VE1285,$ 300.00,,
Michael Kors,MK4101U Shenandoah,$ 167.00,,
Ray-Ban,RB5499 Lady Burbank Optics,$ 222.00,,
Ray-Ban,RB7056 Optics,$ 210.00,,
Ray-Ban,RB5228 Optics,$ 222.00,,
Ray-Ban,RB5277 Optics,$ 186.00,,
Ray-Ban,RB5169 Optics,$ 186.00,,
Tiffany,TF2207,$ 371.00,,
Coach,HC6235U,$ 219.00,,
Ray-Ban,RB9095V Thalia Optics Kids,$ 87.00,,
Oakley,OX8058 The Cut,$ 172.00,,
Costa,6A3015 Bimini Road 310,$ 225.00,,
Burberry,BE1348 Alba,$ 327.00,,
Vogue Eyewear,VO3940,$ 128.00,,
Ray-Ban,RB5184 New Wayfarer Optics,$ 222.00,,
Ray-Ban,RB6375 Optics,$ 189.00,,
Coach,HC6082,$ 219.00,,
Armani Exchange,AX3089U,$ 132.00,,
Ray-Ban,RB5268 Optics,$ 176.00,,
Ray-Ban,RB5279 Optics,$ 186.00,,
Vogue Eyewear,VO3813B,$ 171.00,$ 85.50,
Ray-Ban,RB0298V Mega Hawkeye Optics,$ 222.00,,
Ray-Ban,RB8903 Optics,$ 276.00,,
Scuderia Ferrari,FZ7002,$ 191.00,,
Emporio Armani,EA3227,$ 196.00,,
Michael Kors,MK4110U Avila,$ 161.00,,
Armani Exchange,AX1069,$ 132.00,,
Costa,6A3014 Bimini Road 300,$ 225.00,,
Oakley,OX8130 Trillbe™ X,$ 172.00,,
Coach,HC6197U,$ 219.00,,
Oakley,OX3217 Socket 5.0 Cobalt Collection,$ 227.00,,
Oakley,OX8140 Litebeam,$ 187.00,,
Ray-Ban,RB6414 Optics,$ 189.00,,
Armani Exchange,AX3108U,$ 132.00,,
Polo Ralph Lauren,PH1164,$ 173.00,,
Ray-Ban,RB5154 Clubmaster Fleck Optics,$ 222.00,$ 155.40,-30%
Giorgio Armani,AR 112MJ,$ 421.00,$ 294.70,-30%
Versace,VE1265,$ 251.00,$ 125.50,
Michael Kors,MK3051 Andalusia,$ 194.00,$ 97.00,
Oakley,OX5148 Wingback SQ,$ 318.00,,
Polo Ralph Lauren,PH2237U,$ 167.00,,
Oakley,OX8163 Centerboard,$ 187.00,,
Ray-Ban,RB3857V Frank Optics,$ 210.00,,
Ray-Ban,RB3947V Round Gaze,$ 210.00,,
Oakley,OX3111 Rhinochaser,$ 276.00,,
Ray-Ban,RB8064V RB8064 Titanium Optics,$ 414.00,$ 207.00,
Dolce & Gabbana,DG5099,$ 232.00,,
Dolce & Gabbana,DG3360,$ 364.00,,
Ralph by Ralph Lauren,RA7089,$ 157.00,,
Vogue Eyewear,VO5424B,$ 167.00,,
Burberry,BE2201,$ 265.00,,
Vogue Eyewear,VO4177,$ 141.00,,
Persol,PO3007V,$ 333.00,,
Vogue Eyewear,VO3845B,$ 181.00,$ 126.70,-30%
Burberry,BE1337,$ 275.00,$ 137.50,
Oakley,OX3218 Socket 5.5,$ 227.00,,
Coach,HC6089,$ 219.00,,
Michael Kors,MK4135U Tortola,$ 161.00,,
Gucci,GG0890O,$ 500.00,$ 350.00,-30%
Polo Ralph Lauren,PH2126,$ 194.00,,
Michael Kors,MK3070 Crested Butte,$ 164.00,,
Ray-Ban,RB7047 Optics,$ 176.00,,
Oakley,OX5113 Lizard™,$ 318.00,,
Persol,PO3092V,$ 333.00,,
Ray-Ban,RB6355 Optics,$ 237.00,,
Ray-Ban,RB5418 Optics,$ 210.00,,
Michael Kors,MK4091 Palawan,$ 186.00,,
Burberry,BE2355 Arlo,$ 321.00,$ 160.50,
Vogue Eyewear,VO5305B,$ 181.00,,
Vogue Eyewear,VO5334,$ 167.00,,
Armani Exchange,AX3053,$ 132.00,,
Gucci,GG0011O,$ 460.00,,
Burberry,BE2345 Caroline,$ 296.00,,
Oakley,OX8039 Chamfer™,$ 227.00,,
Emporio Armani,EA1027,$ 183.00,,
Burberry,BE2363 Sylvie,$ 358.00,,
Ray-Ban,RB4378V Optics,$ 176.00,,
Tory Burch,TY2142U,$ 208.00,,
Tory Burch,TY4011U,$ 215.00,$ 107.50,
Ray-Ban,RB5383 Burbank Optics,$ 222.00,,
Vogue Eyewear,VO2998,$ 155.00,$ 108.50,-30%
Oakley,OX3222 Steel Plate™,$ 255.00,,
Persol,PO3007VM,$ 348.00,,
Burberry,BE2334 Elm,$ 296.00,,
Burberry,BE2357 Esme,$ 296.00,,
Oakley,OX3133 Top Spinner 5B,$ 172.00,,
Oakley,OX8078 Hyperlink,$ 187.00,,
Burberry,BE1289,$ 264.00,$ 132.00,
Vogue Eyewear,VO5326,$ 141.00,,
Ray-Ban,RB5150 Optics,$ 177.00,,
Ray-Ban,RB3582V Round Metal Optics II,$ 210.00,,
Scuderia Ferrari,FZ7001,$ 191.00,,
Tory Burch,TY2064,$ 259.00,,
Ray-Ban,RB3758V Ari Optics,$ 176.00,,
Michael Kors,MK4058 Caracas,$ 161.00,,
Versace,VE1271,$ 286.00,,
Ray-Ban,RB5421 Optics,$ 210.00,,
Tory Burch,TY2144U,$ 208.00,,
Versace,VE1275,$ 286.00,,
Ralph by Ralph Lauren,RA7146,$ 141.00,,
Vogue Eyewear,VO4094,$ 141.00,,
Michael Kors,MK4076U Rome,$ 216.00,,
Vogue Eyewear,VO5420,$ 128.00,,
Oakley,OX3227 Fuller™,$ 242.00,,
Michael Kors,MK3012 Adrianna IV,$ 186.00,,
Ray-Ban,RB5395 Thalia Optics,$ 210.00,,
Ray-Ban,RB5154 Clubmaster Optics,$ 222.00,,
Costa,6A8014 Ocean Ridge 400,$ 211.00,,
Arnette,AN7208 Näkki,$ 98.00,,
Ralph by Ralph Lauren,RA7069,$ 141.00,,
Ray-Ban,RB7211 Optics,$ 189.00,,
Polo Ralph Lauren,PH2243,$ 171.00,$ 85.50,
Ralph by Ralph Lauren,RA7133U,$ 141.00,,
Ray-Ban,RB7066 Optics,$ 176.00,,
Ralph by Ralph Lauren,RA7079,$ 169.00,$ 84.50,
Dolce & Gabbana,DG3346,$ 343.00,$ 171.50,
Michael Kors,MK4039 India,$ 152.00,$ 106.40,-30%
Ray-Ban,RB3547V Oval Optics,$ 210.00,,
Ray-Ban,RB5397 Elliot Optics,$ 210.00,,
Oakley,OY8002 Crosslink® XS (Youth Fit),$ 135.00,,
Emporio Armani,EA3193,$ 183.00,,
Oakley,OX3184 TinCup™,$ 346.00,,
Versace,VE1283,$ 346.00,,
Ray-Ban,RB5435 Optics,$ 189.00,,
Ray-Ban,RB3636V New Caravan Optics,$ 222.00,,
Ralph Lauren,RL5099,$ 223.00,,
Oakley,OX3249 Extender,$ 208.00,,
Oakley,OX8156 Holbrook™,$ 187.00,,
Ray-Ban,RB5393 Leonard Optics,$ 210.00,,
Gucci,GC001812,$ 545.00,,
Ray-Ban,RB5121 Original Wayfarer Optics,$ 222.00,,
Gucci,GC001828,$ 460.00,$ 322.00,-30%
Ray-Ban,RB5406 RB5362 Optics,$ 189.00,,
Versace,VE1066,$ 270.00,,
Polo Ralph Lauren,PH2262,$ 181.00,,
Arnette,AN7252 Kamaya,$ 98.00,,
Oakley,OX8166 Wheel House,$ 242.00,,
Oakley,OX8054 Dehaven,$ 242.00,,
Michael Kors,MK4060U Telluride,$ 161.00,,
Burberry,BE2368 Archie,$ 309.00,$ 154.50,
Vogue Eyewear,VO4132,$ 147.00,$ 73.50,
Tory Burch,TY2079,$ 247.00,,
Oakley,OX8057 Draw Up,$ 227.00,,
Versace,VE3320U Biggie,$ 346.00,,
Michael Kors,MK4119U Nassau,$ 186.00,,
Dolce & Gabbana,DG5062,$ 232.00,$ 162.40,-30%
Ray-Ban,RB8416 Optics,$ 276.00,,
Michael Kors,MK4054 CaptIVa,$ 216.00,,
Oakley,OX8178 Rafter,$ 172.00,,
Coach,HC6232U,$ 210.00,,
Coach,HC6125,$ 232.00,,
Burberry,BE2347 Evelyn,$ 327.00,,
Coach,HC5111,$ 232.00,,
Ray-Ban,RB7330 Zena Optics Bio-based,$ 176.00,,
Ray-Ban,RB1549 Optics Kids,$ 122.00,,
Ray-Ban,RB1555 Optics Kids,$ 122.00,,
Ralph Lauren,RL5089,$ 230.00,,
Dolce & Gabbana,DG5044,$ 277.00,,
Ray-Ban,RB1531 Optics Kids,$ 122.00,,
Armani Exchange,AX1042,$ 138.00,,
Vogue Eyewear,VO5276,$ 155.00,$ 108.50,-30%
Oakley,OX8173 Activate,$ 227.00,,
Polo Ralph Lauren,PH1190,$ 181.00,,
Armani Exchange,AX3083U,$ 132.00,,
Coach,HC6233U,$ 232.00,,
Ralph by Ralph Lauren,RA6051,$ 157.00,,
Michael Kors,MK3017 Lil,$ 166.00,$ 83.00,
Dolce & Gabbana,DG3354,$ 335.00,,
Oakley,OX8032 Hex Jector,$ 187.00,,
Michael Kors,MK3035 Memphis,$ 161.00,,
Ray-Ban,RB7159 Optics,$ 222.00,,
Ray-Ban,RB7216 New Clubmaster Optics,$ 222.00,,
Armani Exchange,AX1064,$ 153.00,,
Burberry,BE2205,$ 311.00,,
Versace,VE3350,$ 376.00,,
Giorgio Armani,AR7217,$ 368.00,$ 257.60,-30%
Oakley,OX8060 Overhead,$ 172.00,,
Ray-Ban,RB6448 Hexagonal Optics,$ 210.00,,
Dolce & Gabbana,DG5026,$ 306.00,,
Ray-Ban,RB6335 Optics,$ 210.00,,
Ralph Lauren,RL6133,$ 230.00,,
Versace,VE1279,$ 316.00,,
Ralph by Ralph Lauren,RA7141,$ 133.00,$ 93.10,-30%
Oakley,OY8012 Top Level (Youth Fit),$ 123.00,,
Michael Kors,MK4030 Vivianna II,$ 161.00,,
Ray-Ban,RB5387 Optics,$ 176.00,,
Vogue Eyewear,VO2787,$ 133.00,$ 93.10,-30%
Armani Exchange,AX1018,$ 153.00,,
Ray-Ban,RB5398 Hawkeye Optics,$ 210.00,,
Michael Kors,MK4094U Karlie I,$ 167.00,,
Ray-Ban,RB1591 Optics Kids,$ 110.00,,
Ray-Ban,RB3637V New Round Optics,$ 222.00,,
Oakley,OX5152 Wire Tap 2.0,$ 387.00,,
Oakley,OX8053 Coupler,$ 242.00,,
Scuderia Ferrari,FZ8006,$ 154.00,,
Starck,SH1043X PL1043,$ 442.00,$ 309.40,-30%
Ray-Ban,RB3694V Jim Optics,$ 210.00,,
Ray-Ban,RB6363 Optics,$ 210.00,,
Costa,6A9049V Paunch RX,$ 141.00,,
Tory Burch,TY2132U,$ 208.00,,
Ralph by Ralph Lauren,RA7170U,$ 141.00,,
Burberry,BE2344 Edison,$ 327.00,,
Ray-Ban,RB5245 Optics,$ 210.00,,
Ray-Ban,RB7025 Optics,$ 210.00,,
Oakley,OX5038 Metal Plate™,$ 346.00,,
Ray-Ban,RB5355 Optics,$ 200.00,$ 100.00,
Oakley,OX8050 Pitchman™,$ 276.00,,
Coach,HC6065,$ 255.00,,
Coach,HC6129,$ 219.00,,
Polo Ralph Lauren,PH2218,$ 166.00,,
Ralph by Ralph Lauren,RA7158U,$ 141.00,,
Vogue Eyewear,VO5277,$ 146.00,$ 73.00,
Polo Ralph Lauren,PH2083,$ 201.00,,
Versace,VE3303,$ 286.00,,
Vogue Eyewear,VO5356,$ 128.00,,
Armani Exchange,AX3029,$ 132.00,,
Coach,HC5108,$ 210.00,$ 147.00,-30%
Michael Kors,MK4074 Quintana,$ 186.00,$ 130.20,-30%
Oakley,OX8091 Marshal™ (TruBridge™),$ 242.00,,
Burberry,BE1350 Erin,$ 327.00,,
Oakley,OX3102 Clubface,$ 276.00,,
Dolce & Gabbana,DG3258,$ 306.00,,
Ralph by Ralph Lauren,RA7071,$ 141.00,,
Ray-Ban,RB8955 Optics,$ 223.00,$ 111.50,
Coach,HC6260U,$ 219.00,,
Burberry,BE2108,$ 265.00,,
Oakley,OX3173 Barrelhouse™,$ 255.00,,
Ray-Ban,RB5206 Optics,$ 210.00,,
Ray-Ban,RB6465 Jack Optics,$ 210.00,,
Ralph Lauren,RL6227U,$ 238.00,$ 166.60,-30%
Ralph by Ralph Lauren,RA6055,$ 171.00,,
Ray-Ban,RB5283 Optics,$ 222.00,,
Ralph by Ralph Lauren,RA7044,$ 157.00,,
Ray-Ban,RB5286 Optics,$ 222.00,,
Tory Burch,TY2129U,$ 208.00,,
Vogue Eyewear,VO5518,$ 128.00,,
Dolce & Gabbana,DG3347,$ 306.00,,
Emporio Armani,EA3233,$ 210.00,,
Armani Exchange,AX1017,$ 138.00,,
Arnette,AN7228 Cold Heart,$ 142.00,,
Dolce & Gabbana,DG3363,$ 306.00,,
Oakley,OX8046 Airdrop™,$ 227.00,,
Tory Burch,TY2084,$ 228.00,,
Vogue Eyewear,VO4274,$ 128.00,,
Armani Exchange,AX3098,$ 132.00,,
Versace,VE3328,$ 286.00,,
Armani Exchange,AX3050,$ 132.00,$ 92.40,-30%
Ray-Ban,RB6238 Optics,$ 222.00,,
Michael Kors,MK3039 Toulouse,$ 156.00,$ 78.00,
Vogue Eyewear,VO4088,$ 167.00,,
Ray-Ban,RB5428 Optics,$ 222.00,,
Ray-Ban,RB1586 Optics Kids,$ 98.00,,
Ralph by Ralph Lauren,RA7103,$ 155.00,$ 108.50,-30%
Versace,VE3309,$ 286.00,,
Ray-Ban,RB7185,$ 162.00,,
Ray-Ban,RB0707V RB0707 Optics,$ 210.00,$ 147.00,-30%
Emporio Armani,EA1041,$ 210.00,,
Persol,PO3143V,$ 333.00,,
Coach,HC6172,$ 232.00,,
Tory Burch,TY2110U,$ 215.00,$ 150.50,-30%
Costa,6A8022 Ocean Ridge 720,$ 197.00,,
Ray-Ban,RB5114 Optics,$ 189.00,,
Burberry,BE2353 Carter,$ 279.00,$ 139.50,
Dolce & Gabbana,DG1309,$ 316.00,$ 158.00,
Burberry,BE2073,$ 249.00,,
Vogue Eyewear,VO2961,$ 133.00,$ 93.10,-30%
Oakley,OX8149 Pitchman™ R Carbon,$ 297.00,,
Ray-Ban,RB8247V Round Titanium Optics,$ 479.00,,
Versace,VE3304,$ 286.00,,
Tory Burch,TY2131U,$ 228.00,$ 159.60,-30%
Ralph by Ralph Lauren,RA7020,$ 140.00,$ 98.00,-30%
Ralph by Ralph Lauren,RA7039,$ 141.00,,
Ray-Ban,RB6466 Optics,$ 222.00,,
Dolce & Gabbana,DG1346,$ 335.00,,
Oakley,OX5115 Wingfold™ EVS,$ 318.00,,
Oakley,OX5099 TinCup™ 0.5 Ti,$ 414.00,,
Oakley,OX3232 Base Plane,$ 255.00,,
Ray-Ban,RB7140 Optics,$ 237.00,,
Giorgio Armani,AR7074,$ 327.00,,
Tory Burch,TY2123U,$ 208.00,$ 145.60,-30%
Ray-Ban,RB1536 Optics Kids,$ 110.00,,
Oakley,OX8026 Currency™,$ 276.00,,
Ray-Ban,RB3447V Round Metal Optics,$ 210.00,,
Oakley,OX3036 Foil RQ,$ 172.00,,
Coach,HC6187,$ 219.00,,
Oakley,OX8055 Exchange,$ 242.00,,
Coach,HC6243U,$ 210.00,,
Michael Kors,MK4099 Innsbruck,$ 204.00,$ 102.00,
Ray-Ban,RB7046 Erika Optics,$ 176.00,,
Armani Exchange,AX1034,$ 153.00,,
Armani Exchange,AX3116,$ 125.00,,
Michael Kors,MK4088 Sitka,$ 216.00,$ 151.20,-30%
Ray-Ban,RB8954 Optics,$ 223.00,$ 111.50,
Coach,HC5104B,$ 218.00,$ 109.00,
Oakley,OX8155 Alias™,$ 187.00,,
Oakley,OX8059 CTRLNK,$ 242.00,,
Michael Kors,MK3063 Radda,$ 204.00,$ 142.80,-30%
Coach,HC6040 Brooklyn,$ 232.00,,
Oakley,OX8139A HSTN (Low Bridge Fit) Forge Collection,$ 187.00,,
Oakley,OX8143 Chamfer™ Squared (TruBridge™),$ 242.00,,
Ray-Ban,RB5440 Optics,$ 189.00,,
Ray-Ban,RB6489 Aviator Optics,$ 210.00,,
Versace,VE1287,$ 376.00,,
Burberry,BE2364 Grace,$ 309.00,$ 154.50,
Ray-Ban,RB4340V Wayfarer Ease Optics Change,$ 268.00,,
