Brand,Product_Name,Former_Price,Current_Price,Discount
Oakley,OX5152 Wire Tap 2.0,$ 387.00,,
Ray-Ban,RB3947V Round Gaze,$ 210.00,,
Michael Kors,MK3070 Crested Butte,$ 164.00,,
Armani Exchange,AX1018,$ 153.00,,
Coach,HC6197U,$ 219.00,,
Ray-Ban,RB3447V Round Metal Optics,$ 210.00,,
Coach,HC6243U,$ 210.00,,
Ray-Ban,RB5169 Optics,$ 186.00,,
Michael Kors,MK4135U Tortola,$ 161.00,,
Tory Burch,TY2142U,$ 208.00,,
Vogue Eyewear,VO5420,$ 128.00,,
Scuderia Ferrari,FZ7002,$ 191.00,,
Ray-Ban,RB3758V Ari Optics,$ 176.00,,
Scuderia Ferrari,FZ8006,$ 154.00,,
Ray-Ban,RB7046 Erika Optics,$ 176.00,,
Polo Ralph Lauren,PH2237U,$ 167.00,,
Ray-Ban,RB5440 Optics,$ 189.00,,
Oakley,OX3222 Steel Plate™,$ 255.00,,
Versace,VE3304,$ 286.00,,
Ralph by Ralph Lauren,RA7089,$ 157.00,,
Ray-Ban,RB3857V Frank Optics,$ 210.00,,
Oakley,OX5099 TinCup™ 0.5 Ti,$ 414.00,,
Ray-Ban,RB6238 Optics,$ 222.00,,
Vogue Eyewear,VO5518,$ 128.00,,
Ralph by Ralph Lauren,RA7146,$ 141.00,,
Vogue Eyewear,VO5424B,$ 167.00,,
